frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.951456,951.456,108.0,0.0,1.018
2,0.957822,6.367,128.0,20104.7,1.060
3,0.968533,10.711,0.0,0.0,266.115
4,0.978022,9.489,220.0,23185.0,1.063
5,0.983911,5.889,108.0,18339.6,3.500
6,0.992800,8.889,124.0,13950.0,30.241
7,1.001367,8.567,148.0,17276.3,3.303
8,1.009144,7.778,140.0,18000.0,28.424
9,1.017211,8.067,116.0,14380.2,31.340
10,1.026022,8.811,148.0,16797.0,3.450
11,1.033733,7.711,140.0,18155.6,34.556
12,1.042100,8.367,116.0,13864.5,32.770
13,1.066500,24.400,124.0,5082.0,3.800
14,1.076556,10.056,124.0,12331.5,32.035
15,1.086611,10.056,140.0,13922.7,31.115
16,1.091878,5.267,124.0,23544.3,21.550
17,1.099733,7.856,124.0,15785.0,3.163
18,1.111533,11.800,124.0,10508.5,22.355
19,1.124956,13.422,140.0,10430.5,1.012
20,1.128900,3.944,124.0,31436.6,1.004
21,1.131811,2.911,120.0,41221.4,1.028
22,1.139756,7.944,136.0,17118.9,3.451
23,1.149256,9.500,120.0,12631.6,21.140
24,1.158489,9.233,120.0,12996.4,23.848
25,1.166356,7.867,120.0,15254.2,3.367
26,1.174222,7.867,132.0,16779.7,3.232
27,1.182444,8.222,116.0,14108.1,2.689
28,1.191056,8.611,116.0,13471.0,11.892
29,1.199267,8.211,128.0,15588.6,1.006
30,1.207711,8.444,112.0,13263.2,1.048
31,1.215356,7.644,112.0,14651.2,3.291
32,1.224356,9.000,128.0,14222.2,1.042
33,1.232622,8.267,112.0,13548.4,3.438
34,1.241222,8.600,108.0,12558.1,3.333
35,1.248944,7.722,124.0,16057.6,3.252
36,1.257411,8.467,108.0,12755.9,3.040
37,1.265644,8.233,104.0,12631.6,1.011
38,1.274189,8.544,104.0,12171.7,2.626
39,1.283022,8.833,116.0,13132.1,11.756
40,1.290433,7.411,104.0,14033.0,2.382
41,1.299722,9.289,100.0,10765.6,8.211
42,1.308033,8.311,112.0,13475.9,2.566
43,1.315711,7.678,96.0,12503.6,1.045
44,1.324122,8.411,96.0,11413.5,3.420
45,1.332533,8.411,108.0,12840.2,2.939
46,1.340944,8.411,96.0,11413.5,2.463
47,1.348289,7.344,92.0,12526.5,4.542
48,1.356156,7.867,104.0,13220.3,8.487
49,1.365689,9.533,88.0,9230.8,1.234
50,1.373778,8.089,88.0,10879.1,4.093
51,1.382378,8.600,0.0,0.0,270.061
52,1.389944,7.567,188.0,24845.8,1.205
53,1.398867,8.922,124.0,13897.9,18.693
54,1.411322,12.456,148.0,11882.2,19.553
55,1.415967,4.644,116.0,24976.1,19.966
56,1.423900,7.933,124.0,15630.3,19.286
57,1.432022,8.122,148.0,18221.6,3.477
58,1.440767,8.744,116.0,13265.6,19.715
59,1.447689,6.922,124.0,17913.3,17.068
60,1.456533,8.844,148.0,16733.7,17.076
61,1.465744,9.211,116.0,12593.5,14.539
62,1.473544,7.800,124.0,15897.4,15.936
63,1.481344,7.800,148.0,18974.4,2.993
64,1.508344,27.000,124.0,4592.6,3.356
65,1.515633,7.289,124.0,17012.2,3.849
66,1.524589,8.956,124.0,13846.2,24.839
67,1.532022,7.433,140.0,18834.1,21.489
68,1.540689,8.667,124.0,14307.7,20.205
69,1.548044,7.356,124.0,16858.0,17.935
