frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.920444,920.444,0.0,0.0,400.297
2,0.928356,7.911,160.0,20224.7,42.997
3,0.938978,10.622,124.0,11673.6,30.410
4,0.947589,8.611,148.0,17187.1,3.771
5,0.961711,14.122,0.0,0.0,135.072
6,0.969733,8.022,152.0,18947.4,1.651
7,1.362789,393.056,184.0,0.0,3.446
8,1.368633,5.844,140.0,23954.4,53.707
9,1.379722,11.089,140.0,12625.3,3.528
10,1.387222,7.500,140.0,18666.7,46.413
11,1.394500,7.278,116.0,15938.9,40.243
12,1.405478,10.978,124.0,11295.5,27.058
13,1.410678,5.200,148.0,28461.5,3.567
14,1.419300,8.622,116.0,13453.6,18.030
15,1.439700,20.400,100.0,4902.0,4.154
16,1.441589,1.889,132.0,69882.4,42.179
17,1.450056,8.467,148.0,17480.3,3.974
18,1.474444,24.389,124.0,5084.3,3.893
19,1.479133,4.689,124.0,26445.5,3.684
20,1.483100,3.967,124.0,31260.5,35.151
21,1.493300,10.200,140.0,13725.5,3.670
22,1.501300,8.000,124.0,15500.0,32.305
23,1.509544,8.244,124.0,15040.4,3.607
24,1.517789,8.244,140.0,16981.1,3.287
25,1.526667,8.878,124.0,13967.5,2.985
26,1.534744,8.078,124.0,15350.8,1.089
27,1.542333,7.589,136.0,17920.9,4.027
28,1.552556,10.222,120.0,11739.1,3.526
29,1.559722,7.167,120.0,16744.2,28.148
30,1.568033,8.311,136.0,16363.6,3.844
31,1.577733,9.700,120.0,12371.1,1.028
32,1.584556,6.822,132.0,19348.5,17.250
33,1.592700,8.144,116.0,14242.8,3.554
34,1.601056,8.356,116.0,13883.0,19.900
35,1.609600,8.544,128.0,14980.5,94.541
36,1.617867,8.267,116.0,14032.3,1.046
37,1.625667,7.800,112.0,14359.0,3.037
38,1.634144,8.478,124.0,14626.5,1.055
39,1.643589,9.444,112.0,11858.8,1.111
40,1.651067,7.478,108.0,14442.8,2.889
41,1.659356,8.289,120.0,14477.2,3.247
42,1.667644,8.289,108.0,13029.5,1.022
43,1.676589,8.944,104.0,11627.3,3.446
44,1.684678,8.089,116.0,14340.7,3.009
45,1.692767,8.089,100.0,12362.6,1.006
46,1.700567,7.800,100.0,12820.5,3.145
47,1.709711,9.144,112.0,12247.9,2.867
48,1.717833,8.122,96.0,11819.4,1.015
49,1.730067,12.233,96.0,7847.4,1.038
50,1.733544,3.478,96.0,27603.8,34.157
51,1.742589,9.044,108.0,11941.0,3.072
52,1.751411,8.822,0.0,0.0,116.255
53,1.759156,7.744,148.0,19110.5,1.025
54,1.767944,8.789,128.0,14563.8,3.545
55,1.776733,8.789,128.0,14563.8,3.919
56,1.784556,7.822,128.0,16363.6,3.952
57,1.792567,8.011,128.0,15977.8,3.675
58,1.801011,8.444,128.0,15157.9,3.414
59,1.809089,8.078,128.0,15845.9,3.396
60,1.817511,8.422,128.0,15197.9,3.640
61,1.826867,9.356,128.0,13681.7,3.336
62,1.836867,10.000,128.0,12800.0,3.300
63,1.842422,5.556,128.0,23040.0,3.457
64,1.850922,8.500,128.0,15058.8,3.535
65,1.859000,8.078,0.0,0.0,79.535
66,1.867833,8.833,0.0,0.0,163.557
67,1.875800,7.967,124.0,15564.9,2.839
68,1.884311,8.511,124.0,14569.2,3.175
69,1.892522,8.211,124.0,15101.5,3.256
70,1.900333,7.811,140.0,17923.2,23.012
71,1.908689,8.356,124.0,14840.4,3.453
72,1.919111,10.422,124.0,11897.7,20.540
73,1.925767,6.656,140.0,21035.1,3.435
74,1.933656,7.889,124.0,15718.3,3.519
75,1.943322,9.667,120.0,12413.8,1.054
76,1.951378,8.056,136.0,16882.8,3.347
77,1.958356,6.978,124.0,17770.7,1.209
78,1.966411,8.056,120.0,14896.6,14.953
79,1.976044,9.633,136.0,14117.6,3.115
80,1.984033,7.989,120.0,15020.9,1.019
81,1.992678,8.644,120.0,13881.7,3.607
82,2.001689,9.011,132.0,14648.6,3.337
83,2.008922,7.233,116.0,16036.9,15.914
84,2.016956,8.033,116.0,14439.8,1.053
85,2.024989,8.033,128.0,15933.6,3.616
86,2.033867,8.878,112.0,12615.8,30.981
87,2.042133,8.267,112.0,13548.4,63.184
88,2.051667,9.533,124.0,13007.0,12.538
89,2.059689,8.022,108.0,13462.6,2.950
90,2.067322,7.633,108.0,14148.5,15.266
91,2.075700,8.378,108.0,12891.2,3.074
92,2.084078,8.378,116.0,13846.2,1.098
93,2.092456,8.378,104.0,12413.8,14.489
94,2.100667,8.211,104.0,12665.8,15.822
95,2.109022,8.356,116.0,13883.0,1.118
96,2.117533,8.511,100.0,11749.3,10.634
97,2.125911,8.378,100.0,11936.3,2.761
98,2.134556,8.644,108.0,12493.6,1.060
99,2.142922,8.367,96.0,11474.1,22.174
100,2.149356,6.433,96.0,14922.3,25.098
101,2.159178,9.822,104.0,10588.2,3.037
102,2.167356,8.178,92.0,11250.0,6.250
103,2.175533,8.178,92.0,11250.0,1.016
104,2.183711,8.178,104.0,12717.4,1.322
105,2.192133,8.422,88.0,10448.5,75.107
106,2.200433,8.300,88.0,10602.4,2.419
107,2.208733,8.300,96.0,11566.3,2.428
108,2.217367,8.633,84.0,9729.7,3.819
109,2.225522,8.156,84.0,10299.7,3.412
110,2.234467,8.944,92.0,10285.7,4.195
111,2.243800,9.333,80.0,8571.4,3.061
112,2.251756,7.956,80.0,10055.9,67.219
113,2.258600,6.844,80.0,11688.3,3.302
114,2.266722,8.122,84.0,10342.0,1.125
115,2.276022,9.300,76.0,8172.0,3.449
116,2.283478,7.456,76.0,10193.7,3.336
117,2.291867,8.389,84.0,10013.2,4.376
118,2.300422,8.556,72.0,8415.6,4.500
119,2.308533,8.111,72.0,8876.7,45.090
120,2.324800,16.267,80.0,4918.0,4.283
121,2.328711,3.911,68.0,17386.4,1.175
122,2.334822,6.111,68.0,11127.3,141.814
123,2.342633,7.811,76.0,9729.7,209.840
124,2.351500,8.867,68.0,7669.2,1.145
125,2.360056,8.556,64.0,7480.5,4.208
126,2.368878,8.822,72.0,8161.2,4.007
127,2.376700,7.822,64.0,8181.8,4.064
128,2.385456,8.756,60.0,6852.8,1.046
129,2.393922,8.467,68.0,8031.5,3.841
130,2.402222,8.300,60.0,7228.9,4.220
131,2.410522,8.300,60.0,7228.9,4.172
132,2.418356,7.833,64.0,8170.2,1.018
133,2.427689,9.333,56.0,6000.0,4.388
134,2.435078,7.389,56.0,7578.9,4.087
135,2.444144,9.067,64.0,7058.8,4.011
136,2.452322,8.178,56.0,6847.8,4.089
137,2.460978,8.656,52.0,6007.7,1.037
138,2.470267,9.289,52.0,5598.1,3.480
139,2.478100,7.833,60.0,7659.6,3.345
140,2.485367,7.267,52.0,7156.0,305.137
141,2.492633,7.267,52.0,7156.0,1.039
142,2.501056,8.422,56.0,6649.1,287.006
143,2.509933,8.878,52.0,5857.3,1.010
144,2.518044,8.111,48.0,5917.8,280.039
145,2.527700,9.656,52.0,5385.5,1.065
146,2.536522,8.822,48.0,5440.8,1.099
147,2.544433,7.911,48.0,6067.4,3.053
148,2.552100,7.667,52.0,6782.6,3.592
149,2.559233,7.133,44.0,6168.2,3.690
150,2.568422,9.189,44.0,4788.4,3.687
151,2.576322,7.900,48.0,6075.9,3.791
152,2.585378,9.056,44.0,4858.9,3.815
153,2.592744,7.367,44.0,5972.9,1.082
154,2.601033,8.289,44.0,5308.3,1.063
155,2.619533,18.500,40.0,2162.2,3.989
156,2.625100,5.567,40.0,7185.6,536.500
157,2.634500,9.400,44.0,4680.9,469.733
158,2.641667,7.167,40.0,5581.4,4.020
159,2.649800,8.133,36.0,4426.2,1.008
160,2.657800,8.000,36.0,4500.0,3.907
161,2.665800,8.000,40.0,5000.0,1.039
162,2.674578,8.778,36.0,4101.3,589.810
163,2.682744,8.167,36.0,4408.2,498.095
164,2.691556,8.811,40.0,4539.7,4.057
165,2.700367,8.811,36.0,4085.8,3.322
166,2.710244,9.878,32.0,3239.6,1.013
167,2.719500,9.256,40.0,4321.7,1.009
168,2.723111,3.611,32.0,8861.5,3.314
169,2.731967,8.856,32.0,3613.6,396.509
170,2.740822,8.856,36.0,4065.2,387.506
171,2.753522,12.700,32.0,2519.7,3.319
172,2.759911,6.389,32.0,5008.7,3.741
173,2.765456,5.544,36.0,6493.0,1.116
174,2.774222,8.767,28.0,3193.9,1.122
175,2.783522,9.300,28.0,3010.8,3.690
176,2.791411,7.889,32.0,4056.3,3.482
177,2.799300,7.889,28.0,3549.3,346.132
178,2.807922,8.622,28.0,3247.4,414.148
179,2.815789,7.867,32.0,4067.8,3.516
180,2.823844,8.056,28.0,3475.9,3.595
181,2.832678,8.833,28.0,3169.8,1.140
182,2.840978,8.300,132.0,15903.6,4.061
183,2.849456,8.478,56.0,6605.5,1.101
184,2.857933,8.478,96.0,11323.7,3.646
185,2.866233,8.300,88.0,10602.4,3.318
186,2.874367,8.133,60.0,7377.0,4.260
187,2.882811,8.444,112.0,13263.2,3.734
188,2.891256,8.444,52.0,6157.9,3.685
189,2.898856,7.600,84.0,11052.6,3.672
190,2.913611,14.756,92.0,6234.9,111.938
191,2.916267,2.656,88.0,33138.1,3.939
192,2.923667,7.400,56.0,7567.6,1.037
193,2.932789,9.122,96.0,10523.8,3.581
194,2.941089,8.300,72.0,8674.7,272.542
195,2.949389,8.300,80.0,9638.6,1.026
196,2.957156,7.767,76.0,9785.4,4.046
197,2.965444,8.289,92.0,11099.2,4.143
198,2.974844,9.400,72.0,7659.6,66.275
199,2.983089,8.244,92.0,11159.0,118.004
