frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.924767,924.767,0.0,0.0,306.159
2,0.932378,7.611,160.0,21021.9,11.682
3,0.943289,10.911,164.0,15030.5,11.281
4,0.953022,9.733,128.0,13150.7,2.769
5,0.959067,6.044,128.0,21176.5,2.823
6,0.966833,7.767,128.0,16480.7,2.830
7,0.974956,8.122,128.0,15759.2,2.738
8,0.982644,7.689,128.0,16647.4,1.034
9,0.990911,8.267,152.0,18387.1,4.067
10,1.000133,9.222,124.0,13445.8,16.910
11,1.008267,8.133,128.0,15737.7,5.724
12,1.017911,9.644,128.0,13271.9,1.014
13,1.032789,14.878,124.0,8334.6,3.062
14,1.041022,8.233,124.0,15060.7,7.055
15,1.049256,8.233,124.0,15060.7,5.316
16,1.057111,7.856,140.0,17821.8,2.077
17,1.065211,8.100,124.0,15308.6,4.671
18,1.073422,8.211,124.0,15101.5,1.901
19,1.081444,8.022,136.0,16952.9,1.017
20,1.090889,9.444,120.0,12705.9,1.060
21,1.099433,8.544,120.0,14044.2,1.011
22,1.106767,7.333,136.0,18545.5,9.765
23,1.117200,10.433,120.0,11501.6,11.442
24,1.123556,6.356,120.0,18881.1,13.046
25,1.132078,8.522,120.0,14080.8,3.837
26,1.140711,8.633,132.0,15289.6,8.795
27,1.148667,7.956,120.0,15083.8,1.087
28,1.157244,8.578,116.0,13523.3,2.837
29,1.169467,12.222,116.0,9490.9,10.201
30,1.174633,5.167,128.0,24774.2,3.596
31,1.181511,6.878,112.0,16284.3,1.276
32,1.189911,8.400,112.0,13333.3,3.640
33,1.201389,11.478,124.0,10803.5,3.222
34,1.209056,7.667,108.0,14087.0,2.632
35,1.214344,5.289,108.0,20420.2,3.217
36,1.223344,9.000,120.0,13333.3,17.195
37,1.231922,8.578,104.0,12124.4,1.034
38,1.239622,7.700,104.0,13506.5,2.883
39,1.249189,9.567,116.0,12125.4,10.442
40,1.257944,8.756,104.0,11878.2,1.079
41,1.265000,7.056,100.0,14173.2,3.396
42,1.273522,8.522,112.0,13142.1,20.899
43,1.281756,8.233,96.0,11659.9,1.004
44,1.289989,8.233,96.0,11659.9,3.117
45,1.298478,8.489,108.0,12722.5,2.734
46,1.306967,8.489,96.0,11308.9,3.191
47,1.314956,7.989,92.0,11516.0,50.817
48,1.323256,8.300,92.0,11084.3,6.070
49,1.331556,8.300,100.0,12048.2,2.345
50,1.340156,8.600,88.0,10232.6,3.979
51,1.348411,8.256,88.0,10659.5,129.523
52,1.356800,8.389,96.0,11443.7,2.607
53,1.364822,8.022,84.0,10470.9,3.982
54,1.373278,8.456,84.0,9934.3,61.536
55,1.381733,8.456,92.0,10880.4,3.691
56,1.390556,8.822,84.0,9521.4,1.050
57,1.399244,8.689,80.0,9207.2,24.304
58,1.407200,7.956,0.0,0.0,902.023
59,1.415333,8.133,0.0,0.0,191.890
60,1.424178,8.844,188.0,21256.3,1.013
61,1.431589,7.411,140.0,18890.6,35.573
62,1.440211,8.622,128.0,14845.4,3.441
63,1.448200,7.989,128.0,16022.3,3.130
64,1.456767,8.567,128.0,14941.6,3.125
65,1.465000,8.233,128.0,15546.6,2.973
66,1.473233,8.233,128.0,15546.6,30.521
67,1.482133,8.900,128.0,14382.0,2.785
68,1.489756,7.622,128.0,16793.0,3.375
69,1.497589,7.833,128.0,16340.4,3.427
70,1.506122,8.533,128.0,15000.0,3.614
71,1.514656,8.533,0.0,0.0,97.470
72,1.523644,8.989,124.0,13794.8,3.522
73,1.531878,8.233,124.0,15060.7,3.957
74,1.539822,7.944,124.0,15608.4,19.811
75,1.547267,7.444,140.0,18806.0,16.570
76,1.556711,9.444,124.0,13129.4,13.194
77,1.565500,8.789,124.0,14108.7,12.369
78,1.573078,7.578,140.0,18475.1,2.540
79,1.581778,8.700,120.0,13793.1,1.073
80,1.589600,7.822,124.0,15852.3,2.964
81,1.598100,8.500,136.0,16000.0,34.811
82,1.607422,9.322,120.0,12872.5,3.559
83,1.614511,7.089,120.0,16927.9,35.451
84,1.623022,8.511,136.0,15979.1,3.276
85,1.631133,8.111,116.0,14301.4,1.037
86,1.639489,8.356,120.0,14361.7,1.113
87,1.647633,8.144,128.0,15716.2,1.114
88,1.655778,8.144,116.0,14242.8,2.878
89,1.664411,8.633,112.0,12973.0,3.304
90,1.673533,9.122,128.0,14031.7,19.159
91,1.681422,7.889,112.0,14197.2,35.620
92,1.689311,7.889,112.0,14197.2,84.186
93,1.698589,9.278,124.0,13365.3,3.194
94,1.706867,8.278,108.0,13047.0,3.189
95,1.715711,8.844,108.0,12211.1,16.963
96,1.722967,7.256,108.0,14885.1,1.009
97,1.731156,8.189,120.0,14654.0,1.064
98,1.739022,7.867,104.0,13220.3,35.061
