frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,21.886689,21886.689,0.0,0.0,813.318
2,21.895311,8.622,0.0,0.0,1576.922
3,21.902578,7.267,0.0,0.0,1544.987
4,21.989522,86.944,0.0,0.0,142.150
5,21.996756,7.233,0.0,0.0,1197.345
6,22.006678,9.922,0.0,0.0,72.831
7,22.021044,14.367,0.0,0.0,967.635
8,22.023544,2.500,0.0,0.0,4381.362
9,22.028567,5.022,4.0,796.5,1.134
10,22.037467,8.900,36.0,4044.9,4.736
11,22.051922,14.456,32.0,2213.7,467.723
12,22.058044,6.122,32.0,5226.9,1.069
13,22.061078,3.033,0.0,0.0,2216.594
14,22.069689,8.611,28.0,3251.6,1.069
15,22.078667,8.978,92.0,10247.5,4.874
16,22.086822,8.156,48.0,5885.6,1.204
17,22.095211,8.389,0.0,0.0,1424.484
18,22.103911,8.700,0.0,0.0,492.180
19,22.112156,8.244,0.0,0.0,1100.634
20,22.120667,8.511,0.0,0.0,1316.981
21,22.129478,8.811,0.0,0.0,1952.593
22,22.136856,7.378,0.0,0.0,2025.733
23,22.145211,8.356,0.0,0.0,2428.878
24,22.153411,8.200,0.0,0.0,3541.971
25,22.162178,8.767,0.0,0.0,2080.308
26,22.170256,8.078,0.0,0.0,5478.652
27,22.178767,8.511,0.0,0.0,6197.771
28,22.186833,8.067,0.0,0.0,6232.075
29,22.194900,8.067,0.0,0.0,8504.193
30,22.203889,8.989,0.0,0.0,5211.568
31,22.215556,11.667,0.0,0.0,10643.173
32,22.220000,4.444,0.0,0.0,10993.698
33,22.228356,8.356,0.0,0.0,15590.702
34,22.238489,10.133,0.0,0.0,9065.838
35,22.245400,6.911,0.0,0.0,192.856
36,22.253089,7.689,0.0,0.0,9352.095
37,22.261544,8.456,0.0,0.0,6811.834
38,22.270000,8.456,0.0,0.0,7374.150
39,22.279322,9.322,0.0,0.0,10942.781
40,22.287889,8.567,0.0,0.0,2127.338
41,22.296944,9.056,0.0,0.0,23242.590
42,22.303667,6.722,0.0,0.0,35027.393
43,22.311433,7.767,0.0,0.0,24926.832
44,22.319533,8.100,0.0,0.0,10661.017
45,22.329056,9.522,0.0,0.0,2514.786
46,22.336500,7.444,0.0,0.0,10234.365
47,22.345744,9.244,0.0,0.0,15114.072
48,22.353089,7.344,0.0,0.0,19088.736
49,22.362067,8.978,0.0,0.0,18009.012
50,22.370733,8.667,0.0,0.0,5094.361
51,22.378289,7.556,0.0,0.0,13105.031
52,22.386211,7.922,0.0,0.0,16554.514
53,22.394944,8.733,0.0,0.0,1580.874
54,22.403189,8.244,0.0,0.0,5921.311
55,22.411433,8.244,0.0,0.0,6726.440
56,22.420189,8.756,0.0,0.0,10074.070
57,22.428056,7.867,0.0,0.0,23761.478
58,22.436644,8.589,0.0,0.0,23683.298
59,22.444622,7.978,0.0,0.0,4305.228
60,22.452922,8.300,0.0,0.0,620.352
61,22.461756,8.833,0.0,0.0,3428.821
62,22.469467,7.711,0.0,0.0,13630.578
63,22.478078,8.611,0.0,0.0,4370.216
64,22.486311,8.233,0.0,0.0,20548.667
65,22.494711,8.400,0.0,0.0,3360.311
66,22.502600,7.889,0.0,0.0,15035.563
67,22.511722,9.122,0.0,0.0,3392.646
68,22.523967,12.244,0.0,0.0,13172.517
69,22.528178,4.211,0.0,0.0,3076.312
70,22.538311,10.133,0.0,0.0,14306.285
71,22.545122,6.811,0.0,0.0,3687.793
72,22.553611,8.489,0.0,0.0,14030.223
73,22.562289,8.678,0.0,0.0,11790.368
74,22.570022,7.733,0.0,0.0,19868.242
75,22.578933,8.911,0.0,0.0,2642.382
76,22.586722,7.789,0.0,0.0,4110.880
77,22.596056,9.333,0.0,0.0,4638.658
78,22.603922,7.867,0.0,0.0,4472.887
79,22.612222,8.300,0.0,0.0,23137.715
80,22.620000,7.778,0.0,0.0,2015.755
81,22.629033,9.033,0.0,0.0,16722.013
82,22.636244,7.211,0.0,0.0,3089.591
83,22.644900,8.656,0.0,0.0,10901.564
84,22.653233,8.333,0.0,0.0,4263.524
85,22.662344,9.111,44.0,4829.3,331.532
86,22.669900,7.556,44.0,5823.5,3.294
87,22.679389,9.489,84.0,8852.5,142.053
88,22.687067,7.678,76.0,9898.7,3.088
89,22.696811,9.744,0.0,0.0,4507.296
90,22.703089,6.278,0.0,0.0,3177.734
91,22.711978,8.889,0.0,0.0,4958.425
92,22.720422,8.444,0.0,0.0,2364.678
93,22.727922,7.500,0.0,0.0,4989.642
94,22.736378,8.456,0.0,0.0,7671.943
95,22.744944,8.567,0.0,0.0,2610.479
96,22.753211,8.267,0.0,0.0,1917.139
97,22.761478,8.267,0.0,0.0,4871.179
98,22.770400,8.922,0.0,0.0,3078.468
99,22.779822,9.422,0.0,0.0,2267.243
100,22.787689,7.867,0.0,0.0,4323.424
101,22.795278,7.589,0.0,0.0,1620.599
102,22.803189,7.911,0.0,0.0,8058.382
103,22.811244,8.056,0.0,0.0,3539.662
104,22.818967,7.722,0.0,0.0,2533.777
105,22.828089,9.122,0.0,0.0,6364.420
106,22.841744,13.656,0.0,0.0,8574.866
107,23.146922,305.178,0.0,0.0,11147.317
108,23.160633,13.711,4.0,291.7,3.574
109,23.168756,8.122,52.0,6402.2,3.567
110,23.176878,8.122,60.0,7387.1,213.690
111,23.185000,8.122,72.0,8864.6,3.379
112,23.193122,8.122,80.0,9849.5,1.024
113,23.201667,8.544,84.0,9830.9,1.019
114,23.210211,8.544,88.0,10299.1,3.380
115,23.577800,367.589,0.0,0.0,1836.535
116,23.618900,41.100,80.0,1946.5,179.229
117,23.626356,7.456,84.0,11266.8,3.467
118,23.633711,7.356,108.0,14682.8,1.013
119,23.641633,7.922,120.0,15147.3,1.031
120,23.650122,8.489,0.0,0.0,1229.541
121,24.267811,617.689,0.0,0.0,1412.157
122,24.332900,65.089,52.0,798.9,3.275
123,24.339822,6.922,52.0,7512.0,289.762
124,24.346311,6.489,72.0,11095.9,3.405
125,24.355144,8.833,72.0,8150.9,3.394
126,24.362411,7.267,84.0,11559.6,1.075
127,24.373033,10.622,88.0,8284.5,4.247
128,24.379367,6.333,96.0,15157.9,3.900
129,24.645944,266.578,0.0,0.0,1181.552
130,24.653722,7.778,-4.0,514.3,726.251
131,24.661711,7.989,-76.0,9513.2,135.289
132,24.670122,8.411,-60.0,7133.4,3.306
133,24.822556,152.433,0.0,0.0,2674.640
134,25.129033,306.478,0.0,0.0,3437.371
135,25.135533,6.500,8.0,1230.8,1235.971
136,25.145044,9.511,48.0,5046.7,286.840
137,25.153322,8.278,56.0,6765.1,3.262
138,25.160867,7.544,64.0,8483.1,198.116
139,25.169689,8.822,68.0,7707.8,3.276
140,25.178511,8.822,68.0,7707.8,3.286
141,25.186400,7.889,64.0,8112.7,193.859
142,25.194411,8.011,68.0,8488.2,3.577
143,25.203433,9.022,40.0,4433.5,1.080
144,25.211833,8.400,72.0,8571.4,3.398
145,25.219600,7.767,0.0,0.0,1546.858
146,25.477178,257.578,-4.0,0.0,1188.204
147,25.483800,6.622,-68.0,10268.5,2.906
148,25.503856,20.056,-64.0,3191.1,3.582
149,25.511533,7.678,-60.0,7814.8,3.674
150,25.518411,6.878,-64.0,9305.3,1.070
151,25.525844,7.433,-60.0,8071.7,3.297
152,25.534067,8.222,-52.0,6324.3,1.001
153,25.543556,9.489,-64.0,6744.7,190.473
154,25.551200,7.644,-40.0,5232.6,3.276
155,25.559678,8.478,-40.0,4718.2,3.238
156,25.567756,8.078,-40.0,4951.9,276.260
157,25.583033,15.278,-32.0,2094.5,3.578
158,25.600589,17.556,-32.0,1822.8,1.004
159,25.607856,7.267,-28.0,3853.2,1.009
160,25.616000,8.144,-32.0,3929.1,3.719
161,25.624278,8.278,-28.0,3382.6,3.212
162,25.632689,8.411,-28.0,3328.9,509.414
163,25.640978,8.289,-32.0,3860.6,3.185
164,25.649267,8.289,-28.0,3378.0,3.750
165,25.657556,8.289,-28.0,3378.0,1.011
166,25.665978,8.422,-28.0,3324.5,551.658
167,25.674400,8.422,-24.0,2849.6,725.981
168,25.682467,8.067,-24.0,2975.2,3.123
169,25.690900,8.433,-24.0,2845.8,3.114
170,25.699667,8.767,-20.0,2281.4,1.019
171,25.707956,8.289,-20.0,2412.9,3.770
172,25.715767,7.811,-24.0,3072.5,1.092
173,25.724856,9.089,-20.0,2200.5,3.432
174,25.732444,7.589,-16.0,2108.3,1.023
175,25.740700,8.256,-20.0,2422.6,3.609
176,25.766644,25.944,56.0,2158.5,298.840
177,25.774344,7.700,52.0,6753.2,1.102
178,25.782578,8.233,60.0,7287.4,3.113
179,25.790811,8.233,72.0,8744.9,225.922
180,25.799511,8.700,84.0,9655.2,185.961
181,25.807522,8.011,96.0,11983.4,3.317
182,25.816811,9.289,68.0,7320.6,160.065
183,25.824222,7.411,120.0,16191.9,86.279
184,25.833456,9.233,124.0,13429.6,3.523
185,25.840689,7.233,0.0,0.0,445.545
186,26.166011,325.322,-64.0,0.0,1.037
187,26.173200,7.189,-72.0,10015.5,3.762
188,26.181889,8.689,-100.0,11509.0,82.280
189,26.190122,8.233,-104.0,12631.6,107.258
190,26.197522,7.400,-124.0,16756.8,3.959
191,26.206233,8.711,-116.0,13316.3,3.813
192,26.216533,10.300,-100.0,9708.7,3.388
193,26.222267,5.733,-48.0,8372.1,1.035
194,26.231056,8.789,0.0,0.0,3.266
195,26.239311,8.256,-136.0,16473.8,3.620
196,26.247733,8.422,-136.0,16147.8,1.042
197,26.258633,10.900,-140.0,12844.0,1.042
198,26.264489,5.856,-152.0,25958.3,1.027
199,26.272644,8.156,-136.0,16675.7,3.313
200,26.281278,8.633,-136.0,15752.9,3.688
201,26.290178,8.900,-152.0,17078.7,1.131
202,26.298567,8.389,-136.0,16211.9,3.188
203,26.305911,7.344,-136.0,18517.4,77.791
204,26.314167,8.256,-152.0,18411.8,4.368
205,26.323544,9.378,-136.0,14502.4,3.230
206,26.332267,8.722,-132.0,15133.8,3.311
207,26.339622,7.356,-148.0,20120.8,3.525
208,26.347711,8.089,-132.0,16318.7,21.845
209,26.355956,8.244,-132.0,16010.8,1.006
210,26.364456,8.500,-148.0,17411.8,3.284
211,26.373856,9.400,-128.0,13617.0,76.526
212,26.383378,9.522,-128.0,13442.2,3.365
213,26.389422,6.044,-144.0,23823.5,1.063
214,26.397722,8.300,-124.0,14939.8,1.119
215,26.405856,8.133,-124.0,15245.9,30.519
216,26.415556,9.700,-140.0,14433.0,4.337
217,26.422322,6.767,-124.0,18325.1,3.049
218,26.430756,8.433,-120.0,14229.2,41.347
219,26.439467,8.711,-136.0,15612.2,34.699
220,26.447556,8.089,-120.0,14835.2,1.009
221,26.455933,8.378,-116.0,13846.2,3.489
222,26.464544,8.611,-132.0,15329.0,1.059
223,26.472278,7.733,-116.0,15000.0,3.040
224,26.480756,8.478,-112.0,13211.0,1.022
225,26.489411,8.656,-112.0,12939.7,3.345
226,26.499744,10.333,-124.0,12000.0,1.030
227,26.505256,5.511,-108.0,19596.8,22.452
228,26.514111,8.856,-108.0,12195.7,3.273
229,26.526522,12.411,-120.0,9668.8,3.642
230,26.530211,3.689,-104.0,28192.8,1.055
231,26.538856,8.644,-104.0,12030.8,55.865
232,26.547222,8.367,-116.0,13864.5,3.498
233,26.555400,8.178,-100.0,12228.3,1.046
234,26.563722,8.322,-100.0,12016.0,3.190
235,26.572956,9.233,-112.0,12130.0,51.243
236,26.580478,7.522,-96.0,12762.2,3.613
237,26.588222,7.744,-96.0,12396.0,74.029
238,26.595822,7.600,-108.0,14210.5,1.047
239,26.605367,9.544,-92.0,9639.1,1.118
240,26.614100,8.733,-92.0,10534.4,91.752
241,26.621889,7.789,0.0,0.0,481.088
242,26.647033,25.144,28.0,1113.6,1.153
243,26.656967,9.933,60.0,6040.3,163.379
244,26.664322,7.356,64.0,8700.9,3.660
245,26.672233,7.911,80.0,10112.4,1.061
246,26.680144,7.911,88.0,11123.6,3.523
247,26.688056,7.911,152.0,19213.5,1.089
248,26.696444,8.389,88.0,10490.1,3.911
249,26.705044,8.600,0.0,0.0,2261.845
250,27.116478,411.433,0.0,0.0,2183.960
251,27.137400,20.922,4.0,191.2,274.617
252,27.140600,3.200,56.0,17500.0,3.563
253,27.149267,8.667,56.0,6461.5,3.538
254,27.157378,8.111,56.0,6904.1,1.168
255,27.162822,5.444,104.0,19102.0,103.647
256,27.176500,13.678,0.0,0.0,446.212
257,27.179078,2.578,128.0,49655.2,1.141
258,27.194644,15.567,176.0,11306.2,3.232
259,27.203389,8.744,0.0,0.0,1988.333
260,27.220611,17.222,96.0,5574.2,3.240
261,27.228567,7.956,100.0,12569.8,1.014
262,27.236167,7.600,108.0,14210.5,3.621
263,27.244378,8.211,96.0,11691.5,3.369
264,27.252178,7.800,96.0,12307.7,70.839
265,27.260911,8.733,108.0,12366.4,49.830
266,27.268822,7.911,96.0,12134.8,62.714
267,27.277956,9.133,96.0,10510.9,3.266
268,27.285967,8.011,108.0,13481.3,1.070
269,27.293389,7.422,92.0,12395.2,1.133
270,27.302200,8.811,92.0,10441.4,3.654
271,27.311433,9.233,104.0,11263.5,17.779
272,27.318967,7.533,92.0,12212.4,2.924
273,27.329778,10.811,100.0,9249.7,1.100
274,27.336211,6.433,88.0,13678.8,122.144
275,27.343967,7.756,88.0,11346.7,3.155
276,27.352600,8.633,100.0,11583.0,1.001
277,27.360989,8.389,88.0,10490.1,1.022
