frames=641 duration=6.296s valid_motion=513
speed_px_s p10/p50/p90/max=7587/11174/17554/64138
  0.90-  1.00s median=  19299 max=  20089 n= 2
  1.00-  1.10s median=  14623 max=  46737 n=12
  1.10-  1.20s median=  12563 max=  14694 n=10
  1.20-  1.30s median=  10516 max=  12308 n=12
  1.30-  1.40s median=   8828 max=   9675 n=11
  1.40-  1.50s median=   7303 max=  34869 n=10
  1.50-  1.60s median=  14594 max=  34925 n=12
  1.60-  1.70s median=  12649 max=  14177 n=11
  1.70-  1.80s median=  10588 max=  11699 n=12
  1.80-  1.90s median=   4297 max=  23286 n= 7
  1.90-  2.00s median=  15443 max=  23831 n= 8
  2.00-  2.10s median=  15042 max=  19053 n=11
  2.10-  2.20s median=  11429 max=  46154 n=13
  2.20-  2.30s median=   9505 max=  10862 n=12
  2.30-  2.40s median=   8205 max=  21804 n=10
  2.40-  2.50s median=  15279 max=  18137 n=11
  2.50-  2.60s median=  13810 max=  15856 n=11
  2.60-  2.70s median=  11108 max=  14085 n=10
  2.70-  2.80s median=  23166 max=  23166 n= 1
  2.80-  2.90s median=  16836 max=  50952 n= 8
  2.90-  3.00s median=  14094 max=  18222 n=12
  3.00-  3.10s median=  11535 max=  14717 n=12
  3.10-  3.20s median=   9205 max=  10442 n=12
  3.20-  3.30s median=   7649 max=   8361 n=11
  3.30-  3.40s median=  15098 max=  49231 n=11
  3.40-  3.50s median=  13281 max=  64138 n=11
  3.50-  3.60s median=  11931 max=  13777 n=12
  3.60-  3.70s median=   9524 max=  10588 n=12
  3.70-  3.80s median=   8974 max=  22041 n=11
  3.80-  3.90s median=  15489 max=  19627 n=12
  3.90-  4.00s median=  12865 max=  16615 n=12
  4.00-  4.10s median=  10123 max=  12035 n=12
  4.10-  4.20s median=   8030 max=  10016 n=13
  4.20-  4.30s median=  14588 max=  20919 n=11
  4.30-  4.40s median=  14180 max=  22933 n=11
  4.40-  4.50s median=  11230 max=  13826 n=12
  4.50-  4.60s median=   9409 max=  11495 n=12
  4.60-  4.70s median=   8360 max=  25472 n=10
  4.70-  4.80s median=  15381 max=  26471 n=11
  4.80-  4.90s median=  14048 max=  15703 n=10
  4.90-  5.00s median=  10685 max=  12070 n=12
  5.00-  5.10s median=   8987 max=   9809 n=12
  5.10-  5.20s median=  14520 max=  22351 n=11
  5.20-  5.30s median=  14358 max=  18347 n=12
  5.30-  5.40s median=  11969 max=  13243 n=10
  5.40-  5.50s median=   9661 max=  12591 n=11
  5.50-  5.60s median=   8067 max=   9310 n=10
  5.60-  5.70s median=   6093 max=   7039 n= 9
  5.70-  5.80s median=    459 max=    459 n= 1
  5.80-  5.90s median=    485 max=    485 n= 1
