frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.972544,972.544,0.0,0.0,470.697
2,0.982511,9.967,0.0,0.0,844.402
3,0.987489,4.978,100.0,20089.3,2.822
4,0.996133,8.644,160.0,18509.0,2.776
5,1.004600,8.467,120.0,14173.2,50.944
6,1.018411,13.811,124.0,8978.3,48.508
7,1.021578,3.167,148.0,46736.8,3.754
8,1.029844,8.267,116.0,14032.3,55.300
9,1.038511,8.667,124.0,14307.7,40.665
10,1.046167,7.656,148.0,19332.4,44.139
11,1.054767,8.600,116.0,13488.4,45.227
12,1.062267,7.500,124.0,16533.3,40.339
13,1.070589,8.322,148.0,17783.7,26.381
14,1.079244,8.656,92.0,10629.0,4.653
15,1.087278,8.033,128.0,15933.6,1.199
16,1.095311,8.033,120.0,14937.8,1.021
17,1.103667,8.356,120.0,14361.7,38.870
18,1.111833,8.167,120.0,14693.9,1.023
19,1.120000,8.167,116.0,14204.1,2.954
20,1.128822,8.822,112.0,12695.2,1.084
21,1.137844,9.022,112.0,12413.8,24.018
22,1.147267,9.422,112.0,11886.8,1.073
23,1.154756,7.489,108.0,14421.4,2.975
24,1.162922,8.167,104.0,12734.7,1.016
25,1.171611,8.689,104.0,11969.3,3.127
26,1.179656,8.044,104.0,12928.2,1.018
27,1.188056,8.400,100.0,11904.8,12.742
28,1.196100,8.044,100.0,12430.9,2.630
29,1.204978,8.878,96.0,10813.5,3.008
30,1.212778,7.800,96.0,12307.7,21.351
31,1.221489,8.711,92.0,10561.2,4.896
32,1.229867,8.378,92.0,10981.4,20.990
33,1.238244,8.378,92.0,10981.4,3.186
34,1.247667,9.422,88.0,9339.6,3.486
35,1.254933,7.267,88.0,12110.1,3.405
36,1.263044,8.111,84.0,10356.2,1.173
37,1.271778,8.733,84.0,9618.3,100.888
38,1.279800,8.022,84.0,10470.9,3.267
39,1.288178,8.378,80.0,9549.1,3.259
40,1.296689,8.511,80.0,9399.5,107.164
41,1.305378,8.689,80.0,9207.2,3.310
42,1.313233,7.856,76.0,9674.7,3.458
43,1.321389,8.156,76.0,9318.8,118.087
44,1.329544,8.156,72.0,8828.3,1.043
45,1.337700,8.156,72.0,8828.3,3.302
46,1.346167,8.467,72.0,8503.9,160.326
47,1.355033,8.867,72.0,8120.3,3.369
48,1.362689,7.656,68.0,8882.4,1.057
49,1.371422,8.733,68.0,7786.3,165.131
50,1.379433,8.011,68.0,8488.2,3.470
51,1.388056,8.622,68.0,7886.6,1.008
52,1.396011,7.956,64.0,8044.7,194.580
53,1.405178,9.167,64.0,6981.8,187.767
54,1.412511,7.333,64.0,8727.3,3.161
55,1.420422,7.911,60.0,7584.3,3.218
56,1.428967,8.544,60.0,7022.1,201.055
57,1.437511,8.544,60.0,7022.1,230.405
58,1.445844,8.333,56.0,6720.0,1.083
59,1.454756,8.911,56.0,6284.3,3.370
60,1.463267,8.511,0.0,0.0,1364.804
61,1.470800,7.533,212.0,28141.6,1.037
62,1.478856,8.056,92.0,11420.7,3.732
63,1.488156,9.300,0.0,0.0,1763.062
64,1.496644,8.489,296.0,34869.1,1.022
65,1.508633,11.989,92.0,7673.8,3.516
66,1.513100,4.467,156.0,34925.4,3.365
67,1.520944,7.844,116.0,14787.5,86.918
68,1.530567,9.622,124.0,12886.8,43.590
69,1.537744,7.178,160.0,22291.0,1.023
70,1.546667,8.922,92.0,10311.3,1.039
71,1.554811,8.144,156.0,19154.2,3.577
72,1.562956,8.144,140.0,17189.6,1.037
73,1.571900,8.944,92.0,10285.7,2.724
74,1.580578,8.678,124.0,14289.4,14.415
75,1.587989,7.411,120.0,16191.9,1.126
76,1.596322,8.333,120.0,14400.0,42.771
77,1.604489,8.167,120.0,14693.9,1.015
78,1.613256,8.767,116.0,13231.9,32.060
79,1.621822,8.567,116.0,13540.9,1.023
80,1.629722,7.900,112.0,14177.2,2.959
81,1.637978,8.256,112.0,13566.6,1.164
82,1.647278,9.300,108.0,11612.9,22.881
83,1.655500,8.222,104.0,12648.6,1.057
84,1.662867,7.367,104.0,14117.6,32.166
85,1.671344,8.478,104.0,12267.4,3.238
86,1.679378,8.033,100.0,12448.1,14.745
87,1.687711,8.333,100.0,12000.0,3.168
88,1.695933,8.222,96.0,11675.7,3.098
89,1.704444,8.511,96.0,11279.4,35.972
90,1.712733,8.289,92.0,11099.2,1.291
91,1.720833,8.100,92.0,11358.0,23.311
92,1.729400,8.567,88.0,10272.4,1.271
93,1.737700,8.300,88.0,10602.4,3.259
94,1.746944,9.244,88.0,9519.2,3.199
95,1.754467,7.522,88.0,11698.7,1.104
96,1.763300,8.833,84.0,9509.4,3.898
97,1.771244,7.944,84.0,10573.4,1.104
98,1.779067,7.822,80.0,10227.3,1.107
99,1.786611,7.544,80.0,10603.8,132.271
100,1.795733,9.122,80.0,8769.8,3.235
101,1.803833,8.100,76.0,9382.7,3.286
102,1.812711,8.878,76.0,8560.7,197.750
103,1.820889,8.178,24.0,2934.8,328.723
104,1.829267,8.378,36.0,4297.1,1.854
105,1.837933,8.667,8.0,923.1,1.435
106,1.845611,7.678,4.0,521.0,4.773
107,1.854200,8.589,-200.0,23285.9,1.275
108,1.863322,9.122,0.0,0.0,16.236
109,1.869789,6.467,0.0,0.0,8.829
110,1.878511,8.722,0.0,0.0,2.692
111,1.887233,8.722,0.0,0.0,2.765
112,1.895633,8.400,0.0,0.0,1.766
113,1.904356,8.722,0.0,0.0,1.291
114,1.911933,7.578,0.0,0.0,1.691
115,1.919833,7.900,0.0,0.0,1.357
116,1.929444,9.611,0.0,0.0,2179.483
117,1.937333,7.889,188.0,23831.0,1.032
118,1.945711,8.378,128.0,15278.5,1.701
119,1.953278,7.567,152.0,20088.1,3.521
120,1.962356,9.078,140.0,15422.3,1.108
121,1.969900,7.544,96.0,12724.6,3.307
122,1.978733,8.833,160.0,18113.2,1.446
123,1.986833,8.100,120.0,14814.8,1.765
124,1.995111,8.278,128.0,15463.1,2.412
125,2.003089,7.978,152.0,19052.9,4.165
126,2.011478,8.389,120.0,14304.6,1.369
127,2.019544,8.067,128.0,15867.8,1.726
128,2.029133,9.589,152.0,15851.7,1.027
129,2.037733,8.600,96.0,11162.8,11.819
130,2.046333,8.600,128.0,14883.7,1.038
131,2.054256,7.922,124.0,15652.2,8.724
132,2.062522,8.267,120.0,14516.1,2.136
133,2.070500,7.978,120.0,15041.8,3.548
134,2.079522,9.022,116.0,12857.1,3.841
135,2.087133,7.611,116.0,15240.9,1.440
136,2.100722,13.589,112.0,8242.0,4.189
137,2.105322,4.600,112.0,24347.8,1.067
138,2.111256,5.933,108.0,18202.2,5.838
139,2.119811,8.556,104.0,12155.8,1.346
140,2.128500,8.689,104.0,11969.3,5.441
141,2.142911,14.411,100.0,6939.1,2.750
142,2.145078,2.167,100.0,46153.8,10.239
143,2.152256,7.178,100.0,13931.9,1.169
144,2.161889,9.633,96.0,9965.4,13.717
145,2.170333,8.444,92.0,10894.7,1.111
146,2.178678,8.344,92.0,11025.3,3.708
147,2.187344,8.667,92.0,10615.4,4.512
148,2.195044,7.700,88.0,11428.6,2.393
149,2.203611,8.567,88.0,10272.4,13.747
150,2.212011,8.400,88.0,10476.2,6.167
151,2.220967,8.956,84.0,9379.7,10.396
152,2.228700,7.733,84.0,10862.1,8.983
153,2.237422,8.722,84.0,9630.6,1.896
154,2.245544,8.122,80.0,9849.5,8.268
155,2.253511,7.967,80.0,10041.8,15.431
156,2.261656,8.144,76.0,9331.5,1.464
157,2.269800,8.144,76.0,9331.5,1.246
158,2.278533,8.733,76.0,8702.3,25.070
159,2.286878,8.344,72.0,8628.5,1.306
160,2.295222,8.344,72.0,8628.5,4.551
161,2.303456,8.233,72.0,8744.9,74.202
162,2.311811,8.356,72.0,8617.0,2.599
163,2.320500,8.689,68.0,7826.1,4.492
