frames=689 duration=6.665s valid_motion=622
speed_px_s p10/p50/p90/max=1860/13108/17143/66269
  0.80-  0.90s median=  14010 max=  23179 n= 4
  0.90-  1.00s median=  15254 max=  18172 n= 9
  1.00-  1.10s median=  14795 max=  20187 n=13
  1.10-  1.20s median=  13390 max=  15589 n=12
  1.20-  1.30s median=  11843 max=  17037 n=10
  1.30-  1.40s median=  16390 max=  45738 n=12
  1.40-  1.50s median=  15500 max=  17027 n= 9
  1.50-  1.60s median=    566 max=    864 n= 3
  1.60-  1.70s median=    485 max=    510 n= 5
  1.70-  1.80s median=  17951 max=  31446 n= 7
  1.80-  1.90s median=  14959 max=  55022 n= 8
  1.90-  2.00s median=  15443 max=  36442 n=12
  2.00-  2.10s median=  13697 max=  16161 n=12
  2.10-  2.20s median=  12065 max=  17098 n=12
  2.20-  2.30s median=  15824 max=  19760 n=11
  2.30-  2.40s median=  15550 max=  19355 n=11
  2.40-  2.50s median=  13981 max=  15759 n=12
  2.50-  2.60s median=  11566 max=  29250 n=11
  2.60-  2.70s median=  15695 max=  19791 n=12
  2.70-  2.80s median=  15495 max=  18507 n=10
  2.80-  2.90s median=  14166 max=  29049 n=10
  2.90-  3.00s median=  12586 max=  14013 n=12
  3.00-  3.10s median=  11508 max=  31220 n=10
  3.10-  3.20s median=   9654 max=  36000 n=11
  3.20-  3.30s median=  14930 max=  17561 n=12
  3.30-  3.40s median=  13595 max=  15299 n=12
  3.40-  3.50s median=  11613 max=  17333 n=11
  3.50-  3.60s median=  15759 max=  17117 n=11
  3.60-  3.70s median=  15000 max=  17771 n=11
  3.70-  3.80s median=  13865 max=  48312 n=12
  3.80-  3.90s median=  12316 max=  14087 n= 9
  3.90-  4.00s median=  15299 max=  21176 n=11
  4.00-  4.10s median=  15644 max=  40299 n=10
  4.10-  4.20s median=  14831 max=  16364 n=10
  4.20-  4.30s median=  12899 max=  15190 n=12
  4.30-  4.40s median=  12524 max=  66269 n=11
  4.40-  4.50s median=  15003 max=  18904 n=10
  4.50-  4.60s median=  14809 max=  19626 n=12
  4.60-  4.70s median=  14380 max=  36269 n=12
  4.70-  4.80s median=  12050 max=  13404 n=11
  4.80-  4.90s median=  14840 max=  22381 n=11
  4.90-  5.00s median=  15267 max=  33818 n=10
  5.00-  5.10s median=  14537 max=  18241 n=11
  5.10-  5.20s median=  13207 max=  15105 n=10
  5.20-  5.30s median=  11243 max=  34150 n=12
  5.30-  5.40s median=   9126 max=  10272 n=12
  5.40-  5.50s median=   7599 max=   8549 n=11
  5.50-  5.60s median=   6491 max=  14026 n=10
  5.60-  5.70s median=   5506 max=  20282 n=12
  5.70-  5.80s median=   4127 max=   4819 n=12
  5.80-  5.90s median=   3433 max=   4367 n=13
  5.90-  6.00s median=   2833 max=   5205 n=12
  6.00-  6.10s median=   2288 max=   2816 n=12
  6.10-  6.20s median=   1891 max=   1975 n=12
  6.20-  6.30s median=   1406 max=   1646 n=11
  6.30-  6.40s median=    960 max=   2824 n=13
  6.40-  6.50s median=    488 max=    997 n=12
  6.50-  6.60s median=    484 max=    636 n=10
  6.60-  6.70s median=    521 max=    521 n= 1
