frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.859522,859.522,112.0,0.0,3.516
2,0.868356,8.833,132.0,14943.4,1.156
3,0.878144,9.789,128.0,13076.0,3.513
4,0.887933,9.789,128.0,13076.0,3.813
5,0.893456,5.522,128.0,23179.1,3.451
6,0.901600,8.144,148.0,18171.9,3.732
7,0.909311,7.711,132.0,17118.2,1.016
8,0.918044,8.733,128.0,14656.5,1.063
9,0.926778,8.733,132.0,15114.5,1.121
10,0.934800,8.022,128.0,15955.7,3.400
11,0.943244,8.444,128.0,15157.9,3.497
12,0.951689,8.444,132.0,15631.6,1.093
13,0.976611,24.922,124.0,4975.5,3.162
14,0.984189,7.578,124.0,16363.6,3.312
15,0.993367,9.178,140.0,15254.2,24.581
16,1.000178,6.811,124.0,18205.5,2.866
17,1.008989,8.811,124.0,14073.1,23.675
18,1.016889,7.900,124.0,15696.2,22.454
19,1.026067,9.178,140.0,15254.2,3.184
20,1.034911,8.844,124.0,14020.1,2.849
21,1.042444,7.533,124.0,16460.2,2.610
22,1.052344,9.900,136.0,13737.4,2.796
23,1.058289,5.944,120.0,20186.9,3.074
24,1.065700,7.411,120.0,16191.9,20.168
25,1.074000,8.300,120.0,14457.8,22.188
26,1.082178,8.178,120.0,14673.9,3.287
27,1.091100,8.922,132.0,14794.5,2.705
28,1.099100,8.000,116.0,14500.0,13.355
29,1.107444,8.344,116.0,13901.5,2.804
30,1.115656,8.211,128.0,15588.6,63.339
31,1.123867,8.211,116.0,14127.2,1.035
32,1.132289,8.422,112.0,13298.2,3.403
33,1.140711,8.422,128.0,15197.9,1.104
34,1.148922,8.211,108.0,13152.9,1.072
35,1.157133,8.211,108.0,13152.9,2.835
36,1.165622,8.489,120.0,14136.1,2.724
37,1.173633,8.011,108.0,13481.3,2.455
38,1.182478,8.844,108.0,12211.1,1.031
39,1.191578,9.100,116.0,12747.3,2.928
40,1.199767,8.189,104.0,12700.1,3.022
41,1.208289,8.522,100.0,11734.0,3.017
42,1.216433,8.144,112.0,13751.7,2.979
43,1.224800,8.367,100.0,11952.2,2.483
44,1.233911,9.111,96.0,10536.6,1.006
45,1.241667,7.756,96.0,12378.2,23.992
46,1.250978,9.311,108.0,11599.0,10.273
47,1.260144,9.167,92.0,10036.4,4.790
48,1.265544,5.400,92.0,17037.0,4.523
49,1.273544,8.000,104.0,13000.0,1.630
50,1.282056,8.511,88.0,10339.4,1.275
51,1.290344,8.289,88.0,10616.6,3.531
52,1.299578,9.233,0.0,0.0,206.056
53,1.307689,8.111,188.0,23178.1,1.159
54,1.316144,8.456,124.0,14664.9,12.691
55,1.324800,8.656,168.0,19409.5,3.062
56,1.332667,7.867,88.0,11186.4,70.846
57,1.342244,9.578,132.0,13781.9,13.479
58,1.350078,7.833,148.0,18893.6,2.808
59,1.357911,7.833,116.0,14808.5,2.868
60,1.365944,8.033,124.0,15435.7,18.384
61,1.373833,7.889,148.0,18760.6,2.929
62,1.388211,14.378,116.0,8068.0,15.637
63,1.390922,2.711,124.0,45737.7,13.116
64,1.399456,8.533,148.0,17343.8,2.698
65,1.416478,17.022,0.0,0.0,3.793
66,1.424478,8.000,124.0,15500.0,2.586
67,1.433822,9.344,124.0,13269.9,3.187
68,1.442044,8.222,124.0,15081.1,3.189
69,1.450267,8.222,140.0,17027.0,24.433
70,1.458844,8.578,124.0,14456.0,3.460
71,1.466244,7.400,124.0,16756.8,20.052
72,1.474867,8.622,140.0,16237.1,3.080
73,1.482156,7.289,124.0,17012.2,3.033
74,1.491000,8.844,116.0,13115.6,1.007
75,1.499744,8.744,36.0,4116.9,1.856
76,1.509000,9.256,8.0,864.3,1.199
77,1.516067,7.067,4.0,566.0,2.073
78,1.524333,8.267,0.0,0.0,8.000
79,1.532711,8.378,0.0,0.0,2.778
80,1.541089,8.378,0.0,0.0,1.876
81,1.549644,8.556,0.0,0.0,1.059
82,1.557533,7.889,0.0,0.0,1.249
83,1.566589,9.056,0.0,0.0,1.197
84,1.574389,7.800,-4.0,512.8,1.113
85,1.582822,8.433,0.0,0.0,1.405
86,1.591133,8.311,0.0,0.0,1.164
87,1.599444,8.311,0.0,0.0,1.210
88,1.607589,8.144,0.0,0.0,1.134
89,1.615589,8.000,0.0,0.0,1.355
90,1.624344,8.756,0.0,0.0,1.121
91,1.632600,8.256,-4.0,484.5,1.166
92,1.641022,8.422,-4.0,474.9,1.043
93,1.649278,8.256,-4.0,484.5,1.020
94,1.657744,8.467,-4.0,472.4,1.282
95,1.665589,7.844,-4.0,509.9,1.029
96,1.682800,17.211,0.0,0.0,1.208
97,1.690911,8.111,-4.0,493.2,1.194
98,1.699256,8.344,0.0,0.0,1.660
99,1.707600,8.344,0.0,0.0,1.488
100,1.715944,8.344,0.0,0.0,1.650
101,1.723778,7.833,0.0,0.0,2.867
102,1.732267,8.489,0.0,0.0,2.878
103,1.740900,8.633,0.0,0.0,3178.297
104,1.749144,8.244,188.0,22803.2,2.250
105,1.757389,8.244,148.0,17951.5,9.261
106,1.765211,7.822,116.0,14829.5,31.140
107,1.781378,16.167,148.0,9154.6,29.273
108,1.785067,3.689,116.0,31445.8,63.231
109,1.789700,4.633,124.0,26762.6,26.317
110,1.799689,9.989,124.0,12413.8,23.801
111,1.807700,8.011,184.0,22968.1,1.011
