frames=780 duration=7.480s valid_motion=752
speed_px_s p10/p50/p90/max=2872/12716/16247/37278
  0.90-  1.00s median=  15819 max=  35556 n= 6
  1.00-  1.10s median=  14969 max=  16769 n=10
  1.10-  1.20s median=  15538 max=  37278 n=12
  1.20-  1.30s median=  13264 max=  16849 n=12
  1.30-  1.40s median=  11688 max=  13644 n=13
  1.40-  1.50s median=  13265 max=  19041 n=10
  1.50-  1.60s median=  15299 max=  16916 n=11
  1.60-  1.70s median=  14701 max=  22336 n=12
  1.70-  1.80s median=  13406 max=  14634 n=12
  1.80-  1.90s median=  11684 max=  12494 n=12
  1.90-  2.00s median=  11253 max=  16941 n=10
  2.00-  2.10s median=  15178 max=  17308 n=11
  2.10-  2.20s median=  14748 max=  16523 n=12
  2.20-  2.30s median=  13513 max=  17402 n=12
  2.30-  2.40s median=  11441 max=  13481 n=12
  2.40-  2.50s median=   9437 max=  11374 n=12
  2.50-  2.60s median=   8862 max=  17338 n=11
  2.60-  2.70s median=  15479 max=  16294 n=11
  2.70-  2.80s median=  15090 max=  17637 n=12
  2.80-  2.90s median=  13658 max=  15484 n=12
  2.90-  3.00s median=  11939 max=  14203 n=12
  3.00-  3.10s median=  10394 max=  17476 n=11
  3.10-  3.20s median=  15198 max=  18432 n=11
  3.20-  3.30s median=  15175 max=  18538 n=12
  3.30-  3.40s median=  14053 max=  16434 n=12
  3.40-  3.50s median=  12093 max=  15532 n=12
  3.50-  3.60s median=  14427 max=  21233 n=10
  3.60-  3.70s median=  15526 max=  18113 n=11
  3.70-  3.80s median=  14142 max=  18738 n=12
  3.80-  3.90s median=  13715 max=  17143 n=12
  3.90-  4.00s median=  11339 max=  13294 n=12
  4.00-  4.10s median=   9553 max=  10534 n=12
  4.10-  4.20s median=  15198 max=  21204 n=11
  4.20-  4.30s median=  15288 max=  16845 n=11
  4.30-  4.40s median=  14347 max=  16042 n=12
  4.40-  4.50s median=  12519 max=  16071 n=12
  4.50-  4.60s median=  10509 max=  12950 n=12
  4.60-  4.70s median=  14739 max=  16067 n=11
  4.70-  4.80s median=  15042 max=  18286 n=11
  4.80-  4.90s median=  14626 max=  17532 n=12
  4.90-  5.00s median=  13171 max=  15961 n=13
  5.00-  5.10s median=  10462 max=  12735 n=11
  5.10-  5.20s median=  14788 max=  20460 n=11
  5.20-  5.30s median=  15535 max=  19149 n=12
  5.30-  5.40s median=  14867 max=  18574 n=12
  5.40-  5.50s median=  12992 max=  15184 n=12
  5.50-  5.60s median=  11336 max=  14669 n=12
  5.60-  5.70s median=  15253 max=  17242 n=10
  5.70-  5.80s median=  15410 max=  17534 n=10
  5.80-  5.90s median=  14305 max=  19185 n=13
  5.90-  6.00s median=  12958 max=  15460 n=12
  6.00-  6.10s median=  11113 max=  12219 n=12
  6.10-  6.20s median=   9317 max=  10876 n=12
  6.20-  6.30s median=   7657 max=   9434 n=12
  6.30-  6.40s median=   6258 max=   8411 n=12
  6.40-  6.50s median=   5113 max=   8387 n=12
  6.50-  6.60s median=   4241 max=   5180 n=12
  6.60-  6.70s median=   3464 max=   4013 n=12
  6.70-  6.80s median=   2908 max=   3443 n=12
  6.80-  6.90s median=   2323 max=   2996 n=12
  6.90-  7.00s median=   1907 max=   2017 n=12
  7.00-  7.10s median=   1428 max=   1994 n=12
  7.10-  7.20s median=    973 max=   1454 n=12
  7.20-  7.30s median=    528 max=   1020 n=12
  7.30-  7.40s median=    476 max=    536 n=11
  7.40-  7.50s median=    441 max=    441 n= 1
