frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.867556,867.556,0.0,0.0,481.462
2,0.875278,7.722,160.0,20719.4,30.462
3,0.887289,12.011,124.0,10323.8,32.006
4,0.894967,7.678,148.0,19276.4,35.175
5,0.902367,7.400,116.0,15675.7,26.746
6,0.910856,8.489,124.0,14607.3,25.735
7,0.919344,8.489,148.0,17434.6,3.368
8,0.926756,7.411,116.0,15652.2,18.694
9,0.935389,8.633,148.0,17142.9,16.623
10,0.943533,8.144,140.0,17189.6,2.638
11,0.951833,8.300,116.0,13975.9,16.296
12,0.959944,8.111,124.0,15287.7,17.861
13,0.968433,8.489,0.0,0.0,90.771
14,0.976744,8.311,0.0,0.0,3.999
15,0.985056,8.311,124.0,14919.8,3.251
16,0.993611,8.556,124.0,14493.5,3.156
17,1.002367,8.756,124.0,14162.4,3.612
18,1.011778,9.411,136.0,14451.0,1.150
19,1.020600,8.822,124.0,14055.4,3.351
20,1.028156,7.556,120.0,15882.4,1.047
21,1.037211,9.056,136.0,15018.4,3.061
22,1.046067,8.856,120.0,13550.8,3.181
23,1.052756,6.689,120.0,17940.2,3.352
24,1.064156,11.400,120.0,10526.3,28.722
25,1.068489,4.333,132.0,30461.5,1.032
26,1.076533,8.044,120.0,14917.1,1.133
27,1.085678,9.144,120.0,13122.7,2.879
28,1.100922,15.244,116.0,7609.3,11.821
29,1.105844,4.922,132.0,26817.2,3.082
30,1.109256,3.411,116.0,34006.5,2.726
31,1.123356,14.100,112.0,7943.3,1.093
32,1.126567,3.211,112.0,34878.9,2.809
33,1.137044,10.478,128.0,12216.3,1.020
34,1.143167,6.122,112.0,18294.0,2.995
35,1.151511,8.344,112.0,13422.1,1.024
36,1.160078,8.567,124.0,14474.7,1.046
37,1.168178,8.100,108.0,13333.3,2.487
38,1.176700,8.522,108.0,12672.8,1.048
39,1.185656,8.956,116.0,12952.9,1.082
40,1.194133,8.478,104.0,12267.4,25.133
41,1.202767,8.633,104.0,12046.3,1.160
42,1.210322,7.556,112.0,14823.5,1.148
43,1.218500,8.178,100.0,12228.3,10.343
44,1.227278,8.778,96.0,10936.7,1.027
45,1.235289,8.011,112.0,13980.6,1.062
46,1.243867,8.578,96.0,11191.7,26.645
47,1.252011,8.144,92.0,11296.0,1.288
48,1.260656,8.644,104.0,12030.8,2.466
49,1.268500,7.844,68.0,8668.6,1.078
50,1.276956,8.456,36.0,4257.6,1.859
51,1.285122,8.167,4.0,489.8,1.235
52,1.293933,8.811,0.0,0.0,1.542
53,1.301767,7.833,0.0,0.0,1.315
54,1.310289,8.522,0.0,0.0,2.168
55,1.318811,8.522,0.0,0.0,1.864
56,1.326222,7.411,0.0,0.0,1.516
57,1.334833,8.611,120.0,13935.5,3.537
58,1.343756,8.922,128.0,14346.2,2.591
59,1.351911,8.156,148.0,18147.1,1.239
60,1.360067,8.156,120.0,14713.9,2.116
61,1.368100,8.033,124.0,15435.7,1.693
62,1.376478,8.378,148.0,17665.8,2.995
63,1.384856,8.378,0.0,0.0,1.200
64,1.394089,9.233,0.0,0.0,1.707
65,1.401489,7.400,124.0,16756.8,1.068
66,1.409844,8.356,124.0,14840.4,1.315
67,1.424544,14.700,124.0,8435.4,8.740
68,1.427911,3.367,140.0,41584.2,7.319
69,1.434956,7.044,124.0,17602.5,16.520
70,1.443911,8.956,124.0,13846.2,6.324
71,1.451600,7.689,140.0,18208.1,2.617
72,1.459767,8.167,124.0,15183.7,1.760
73,1.468200,8.433,120.0,14229.2,2.461
74,1.476756,8.556,136.0,15896.1,6.805
75,1.484756,8.000,120.0,15000.0,10.012
76,1.492978,8.222,120.0,14594.6,3.703
77,1.501033,8.056,132.0,16386.2,2.004
78,1.510000,8.967,116.0,12936.8,2.489
79,1.518133,8.133,116.0,14262.3,3.395
80,1.526689,8.556,132.0,15428.6,1.457
81,1.534322,7.633,116.0,15196.5,4.915
82,1.543156,8.833,112.0,12679.2,1.824
83,1.551356,8.200,128.0,15609.8,6.644
84,1.559767,8.411,112.0,13315.7,7.704
85,1.568011,8.244,112.0,13584.9,7.517
86,1.576489,8.478,124.0,14626.5,2.079
87,1.584511,8.022,108.0,13462.6,4.062
88,1.593011,8.500,108.0,12705.9,9.140
89,1.601911,8.900,104.0,11685.4,1.308
90,1.610311,8.400,116.0,13809.5,1.136
91,1.618178,7.867,104.0,13220.3,12.927
92,1.626344,8.167,104.0,12734.7,2.336
93,1.634678,8.333,112.0,13440.0,1.096
94,1.643011,8.333,100.0,12000.0,7.207
95,1.650656,7.644,96.0,12558.1,1.157
96,1.659456,8.800,108.0,12272.7,1.211
97,1.668256,8.800,96.0,10909.1,9.754
98,1.677056,8.800,96.0,10909.1,3.262
99,1.684178,7.122,0.0,0.0,88.712
100,1.693011,8.833,156.0,17660.4,1.030
101,1.700956,7.944,128.0,16111.9,2.689
102,1.709244,8.289,128.0,15442.4,3.128
103,1.721333,12.089,128.0,10588.2,41.906
104,1.725933,4.600,128.0,27826.1,3.321
105,1.734656,8.722,128.0,14675.2,3.467
106,1.742700,8.044,128.0,15911.6,2.873
107,1.750744,8.044,128.0,15911.6,2.727
108,1.759078,8.333,128.0,15360.0,3.300
109,1.769733,10.656,128.0,12012.5,3.212
110,1.775844,6.111,128.0,20945.5,2.927
111,1.783967,8.122,128.0,15759.2,2.750
112,1.808644,24.678,124.0,5024.8,3.162
113,1.817167,8.522,124.0,14550.2,19.352
114,1.826267,9.100,124.0,13626.4,3.483
115,1.832233,5.967,140.0,23463.7,19.847
116,1.840300,8.067,124.0,15371.9,15.655
117,1.849178,8.878,124.0,13967.5,3.066
118,1.857000,7.822,140.0,17897.7,2.842
119,1.865711,8.711,124.0,14234.7,2.684
120,1.874422,8.711,120.0,13775.5,1.044
121,1.883133,8.711,136.0,15612.2,18.219
122,1.891300,8.167,120.0,14693.9,3.016
123,1.901500,10.200,120.0,11764.7,21.231
124,1.907678,6.178,136.0,22014.4,2.931
125,1.915767,8.089,116.0,14340.7,1.003
