frame,time_s,dt_ms,dy_px,speed_px_s,quality
1,0.919744,919.744,0.0,0.0,372.101
2,0.928400,8.656,136.0,15712.5,28.963
3,0.939356,10.956,128.0,11683.6,3.418
4,0.950689,11.333,128.0,11294.1,1.015
5,0.954278,3.589,128.0,35665.6,3.020
6,0.962800,8.522,128.0,15019.6,3.175
7,0.970956,8.156,128.0,15694.8,3.449
8,0.978656,7.700,128.0,16623.4,3.219
9,0.987044,8.389,148.0,17642.4,19.613
10,0.995944,8.900,128.0,14382.0,2.957
11,1.004467,8.522,124.0,14550.2,1.035
12,1.012689,8.222,132.0,16054.1,3.236
13,1.028300,15.611,124.0,7943.1,3.525
14,1.036444,8.144,124.0,15225.1,1.050
15,1.044444,8.000,124.0,15500.0,2.906
16,1.053611,9.167,140.0,15272.7,3.037
17,1.061467,7.856,124.0,15785.0,2.783
18,1.069622,8.156,124.0,15204.4,2.916
19,1.078278,8.656,124.0,14326.1,18.432
20,1.086933,8.656,140.0,16174.6,2.973
21,1.094400,7.467,124.0,16607.1,2.816
22,1.102256,7.856,124.0,15785.0,1.010
23,1.110844,8.589,136.0,15834.4,2.940
24,1.119200,8.356,120.0,14361.7,2.775
25,1.127400,8.200,120.0,14634.1,21.687
26,1.136022,8.622,120.0,13917.5,2.857
27,1.143978,7.956,136.0,17095.0,1.029
28,1.153189,9.211,116.0,12593.5,2.730
29,1.160844,7.656,116.0,15152.4,3.065
30,1.169478,8.633,128.0,14826.3,3.422
31,1.177344,7.867,116.0,14745.8,3.430
32,1.185978,8.633,112.0,12973.0,3.632
33,1.193878,7.900,128.0,16202.5,1.032
34,1.202322,8.444,112.0,13263.2,3.014
35,1.210767,8.444,108.0,12789.5,2.679
36,1.219667,8.900,124.0,13932.6,2.606
37,1.234056,14.389,108.0,7505.8,3.143
38,1.237989,3.933,104.0,26440.7,1.046
39,1.244467,6.478,116.0,17907.4,2.349
40,1.252533,8.067,104.0,12892.6,18.091
41,1.260600,8.067,100.0,12396.7,1.143
42,1.269233,8.633,116.0,13436.3,1.120
